meterID,missing_date
980,2016-01-12
980,2016-01-13
980,2016-01-14
980,2016-01-15
980,2016-01-16
980,2016-01-17
980,2016-01-18
980,2016-01-19
980,2017-01-01
980,2017-01-02
980,2017-01-03
980,2017-01-04
980,2017-01-05
980,2017-01-06
980,2017-01-07
980,2017-01-08
980,2017-01-09
980,2017-01-10
980,2017-01-11
980,2017-01-12
980,2017-01-13
980,2017-01-14
980,2017-01-15
980,2017-01-16
980,2017-01-17
980,2017-01-18
980,2017-01-19
820,2016-01-01
820,2016-01-02
820,2016-01-03
820,2016-01-04
820,2016-01-05
820,2016-01-06
820,2016-01-07
820,2016-01-08
820,2016-01-09
820,2016-01-10
820,2016-01-11
820,2016-01-12
820,2016-01-13
820,2016-01-14
820,2016-01-15
820,2016-01-16
820,2016-01-17
820,2016-01-18
820,2016-01-19
820,2016-01-20
820,2016-01-21
820,2016-01-22
820,2016-01-23
820,2016-01-24
820,2016-01-25
820,2016-01-26
820,2016-01-27
820,2016-01-28
820,2016-01-29
820,2016-01-30
820,2016-01-31
820,2016-02-01
820,2016-02-02
820,2016-02-03
820,2016-02-04
820,2016-02-05
820,2016-02-06
820,2016-02-07
820,2016-02-08
820,2016-02-09
820,2016-02-10
820,2016-02-11
820,2016-02-12
820,2016-02-13
820,2016-02-14
820,2016-02-15
820,2016-02-16
820,2016-02-17
820,2016-02-18
820,2016-02-19
820,2016-02-20
820,2016-02-21
820,2016-02-22
820,2016-02-23
820,2016-02-24
820,2016-02-25
820,2016-02-26
820,2016-02-27
820,2016-02-28
820,2016-02-29
820,2016-03-01
820,2016-03-02
820,2016-03-03
820,2016-03-04
820,2016-03-05
820,2016-03-06
820,2016-03-07
820,2016-03-08
820,2016-03-09
820,2016-03-10
820,2016-03-11
820,2016-03-12
820,2016-03-13
820,2016-03-14
820,2016-03-15
820,2016-03-16
820,2016-03-17
820,2016-03-18
820,2016-03-19
820,2016-03-20
820,2016-03-21
820,2016-03-22
820,2016-03-23
820,2016-03-24
820,2016-03-25
820,2016-03-26
820,2016-03-27
820,2016-03-28
820,2016-03-29
